Designator,Mid X,Mid Y,Rotation,Layer
D1,131.0,-68.575,0.0,top
J1,130.875,-93.275,270.0,top
J2,134.15,-85.275,0.0,top
Q1,130.875,-63.95,0.0,top
Q2,130.875,-73.175,0.0,top
R1,129.025,-79.0,0.0,top
RV1,129.05,-84.325,180.0,top
